Metrics:
mean: 27.06, std: 16.97, bottom_mean: 8.0, loss: -5689.26806640625
mean: 42.57, std: 12.35, bottom_mean: 23.0, loss: -26126.072265625
mean: 17.23, std: 2.73, bottom_mean: 12.0, loss: -96671.7265625
mean: 9.34, std: 0.72, bottom_mean: 8.0, loss: -10897.1103515625
mean: 9.46, std: 0.75, bottom_mean: 8.0, loss: -4111.64404296875
mean: 9.47, std: 0.85, bottom_mean: 8.0, loss: -6315.8359375
mean: 9.22, std: 0.72, bottom_mean: 8.0, loss: -6339.81201171875
mean: 9.25, std: 0.85, bottom_mean: 8.0, loss: -4114.86328125
mean: 18.63, std: 3.05, bottom_mean: 13.0, loss: -6503.30810546875
mean: 26.89, std: 8.0, bottom_mean: 14.0, loss: -35155.69140625
mean: 38.76, std: 12.27, bottom_mean: 19.0, loss: -46810.18359375
mean: 49.18, std: 34.47, bottom_mean: 19.0, loss: -73699.59375
mean: 39.73, std: 13.55, bottom_mean: 17.0, loss: -49779.46875
mean: 29.07, std: 12.43, bottom_mean: 12.0, loss: -100787.078125
mean: 24.33, std: 9.72, bottom_mean: 11.0, loss: -12584.6669921875
mean: 25.24, std: 9.04, bottom_mean: 10.0, loss: -18254.216796875
mean: 27.65, std: 9.73, bottom_mean: 9.0, loss: -80749.40625
mean: 39.65, std: 12.84, bottom_mean: 19.0, loss: -35035.62890625
mean: 37.65, std: 16.66, bottom_mean: 20.0, loss: -35027.37890625
mean: 26.77, std: 7.13, bottom_mean: 14.0, loss: -258944.390625
mean: 14.12, std: 3.12, bottom_mean: 10.0, loss: -53044.8125
mean: 9.36, std: 0.78, bottom_mean: 8.0, loss: -22626.22265625
mean: 9.36, std: 0.81, bottom_mean: 8.0, loss: -7737.537109375
mean: 9.33, std: 0.76, bottom_mean: 8.0, loss: -6343.30859375
mean: 9.36, std: 0.77, bottom_mean: 8.0, loss: -5132.46875
mean: 9.45, std: 0.82, bottom_mean: 8.0, loss: -5136.35107421875
mean: 9.43, std: 0.72, bottom_mean: 8.0, loss: -5144.3173828125
mean: 9.41, std: 0.71, bottom_mean: 8.0, loss: -6362.2333984375
mean: 10.08, std: 1.12, bottom_mean: 8.0, loss: -7735.39892578125
mean: 13.04, std: 2.05, bottom_mean: 10.0, loss: -6487.6669921875
mean: 15.82, std: 2.79, bottom_mean: 11.0, loss: -14349.0185546875
mean: 19.66, std: 3.44, bottom_mean: 12.0, loss: -18256.875
mean: 20.99, std: 4.26, bottom_mean: 13.0, loss: -18264.5625
mean: 22.61, std: 4.5, bottom_mean: 14.0, loss: -20380.748046875
mean: 22.07, std: 4.71, bottom_mean: 14.0, loss: -35087.24609375
mean: 23.14, std: 5.34, bottom_mean: 15.0, loss: -20380.17578125
mean: 21.83, std: 4.41, bottom_mean: 14.0, loss: -27314.47265625
mean: 18.82, std: 4.48, bottom_mean: 12.0, loss: -14370.3271484375
mean: 18.28, std: 4.74, bottom_mean: 11.0, loss: -9299.00390625
mean: 16.51, std: 3.71, bottom_mean: 10.0, loss: -16261.029296875
mean: 13.83, std: 2.59, bottom_mean: 9.0, loss: -49829.71484375
mean: 12.92, std: 2.41, bottom_mean: 9.0, loss: -14355.3896484375
mean: 12.05, std: 2.96, bottom_mean: 8.0, loss: -16278.279296875
mean: 11.97, std: 3.25, bottom_mean: 8.0, loss: -9306.03515625
mean: 12.79, std: 4.04, bottom_mean: 8.0, loss: -10842.43359375
mean: 15.36, std: 5.66, bottom_mean: 9.0, loss: -5270.44140625
mean: 25.16, std: 11.9, bottom_mean: 12.0, loss: -37867.98046875
mean: 47.49, std: 21.47, bottom_mean: 16.0, loss: -147875.4375
mean: 91.42, std: 39.4, bottom_mean: 23.0, loss: -104819.625
mean: 120.79, std: 52.45, bottom_mean: 17.0, loss: -345042.90625
mean: 13.24, std: 6.73, bottom_mean: 8.0, loss: -393237.875
mean: 9.33, std: 0.78, bottom_mean: 8.0, loss: -4170.33447265625
mean: 9.27, std: 0.81, bottom_mean: 8.0, loss: -5198.77783203125
mean: 9.37, std: 0.74, bottom_mean: 8.0, loss: -4064.2890625
mean: 9.36, std: 0.77, bottom_mean: 8.0, loss: -4028.24951171875
mean: 9.34, std: 0.7, bottom_mean: 8.0, loss: -6218.1259765625
mean: 9.3, std: 0.73, bottom_mean: 8.0, loss: -5063.97509765625
mean: 9.42, std: 0.72, bottom_mean: 8.0, loss: -5060.1845703125
mean: 9.45, std: 0.77, bottom_mean: 8.0, loss: -5089.4609375
mean: 9.31, std: 0.78, bottom_mean: 8.0, loss: -5124.86181640625
mean: 9.16, std: 0.85, bottom_mean: 8.0, loss: -5150.1025390625
mean: 9.5, std: 0.75, bottom_mean: 8.0, loss: -5185.513671875
mean: 9.5, std: 0.7, bottom_mean: 8.0, loss: -5225.68701171875
mean: 17.36, std: 6.58, bottom_mean: 8.0, loss: -6500.38818359375
mean: 19.15, std: 7.55, bottom_mean: 8.0, loss: -24134.26171875
mean: 21.76, std: 8.03, bottom_mean: 8.0, loss: -45812.21875
mean: 23.52, std: 8.77, bottom_mean: 8.0, loss: -6318.14501953125
mean: 34.93, std: 8.38, bottom_mean: 11.0, loss: -59489.0859375
mean: 61.8, std: 6.09, bottom_mean: 47.0, loss: -157295.84375
mean: 80.82, std: 13.41, bottom_mean: 42.0, loss: -157099.984375
mean: 22.29, std: 2.02, bottom_mean: 19.0, loss: -117341.9765625
mean: 13.07, std: 1.69, bottom_mean: 10.0, loss: -27390.318359375
mean: 9.44, std: 0.74, bottom_mean: 8.0, loss: -16278.59765625
mean: 9.44, std: 0.7, bottom_mean: 8.0, loss: -6476.83984375
mean: 9.45, std: 0.78, bottom_mean: 8.0, loss: -6437.9541015625
mean: 9.34, std: 0.78, bottom_mean: 8.0, loss: -5230.1484375
mean: 9.46, std: 0.74, bottom_mean: 8.0, loss: -6441.6982421875
mean: 9.44, std: 0.84, bottom_mean: 8.0, loss: -6466.19677734375
mean: 10.49, std: 1.07, bottom_mean: 8.0, loss: -5265.013671875
mean: 12.14, std: 1.36, bottom_mean: 10.0, loss: -5271.896484375
mean: 13.61, std: 1.93, bottom_mean: 10.0, loss: -10881.767578125
mean: 15.1, std: 2.22, bottom_mean: 11.0, loss: -20400.78125
mean: 15.39, std: 2.45, bottom_mean: 11.0, loss: -14368.41015625
mean: 15.92, std: 2.88, bottom_mean: 11.0, loss: -14368.7744140625
mean: 15.78, std: 2.67, bottom_mean: 11.0, loss: -18281.966796875
mean: 15.58, std: 2.49, bottom_mean: 12.0, loss: -29852.369140625
mean: 15.37, std: 2.5, bottom_mean: 11.0, loss: -12569.029296875
mean: 15.01, std: 2.26, bottom_mean: 11.0, loss: -18286.310546875
mean: 15.04, std: 2.34, bottom_mean: 11.0, loss: -14369.7578125
mean: 13.63, std: 2.07, bottom_mean: 9.0, loss: -18291.4609375
mean: 12.67, std: 1.77, bottom_mean: 10.0, loss: -16284.6806640625
mean: 11.8, std: 1.89, bottom_mean: 9.0, loss: -10892.02734375
mean: 10.89, std: 1.36, bottom_mean: 9.0, loss: -6504.798828125
mean: 10.8, std: 1.36, bottom_mean: 8.0, loss: -5278.9482421875
mean: 10.47, std: 1.26, bottom_mean: 8.0, loss: -7850.9765625
mean: 11.4, std: 3.41, bottom_mean: 8.0, loss: -7854.90087890625
mean: 12.64, std: 6.36, bottom_mean: 8.0, loss: -9321.8837890625
mean: 16.86, std: 10.34, bottom_mean: 8.0, loss: -6511.40869140625
mean: 22.63, std: 12.81, bottom_mean: 9.0, loss: -7858.1259765625
mean: 30.64, std: 14.82, bottom_mean: 9.0, loss: -5283.1416015625
mean: 33.05, std: 12.18, bottom_mean: 9.0, loss: -84508.8203125
mean: 31.16, std: 11.93, bottom_mean: 10.0, loss: -84402.9453125
mean: 27.44, std: 11.7, bottom_mean: 10.0, loss: -108333.484375
mean: 26.43, std: 9.13, bottom_mean: 10.0, loss: -49562.96484375
mean: 26.67, std: 9.0, bottom_mean: 11.0, loss: -37660.3203125
mean: 22.26, std: 7.3, bottom_mean: 11.0, loss: -18316.025390625
mean: 19.27, std: 5.26, bottom_mean: 13.0, loss: -22512.69921875
mean: 15.8, std: 3.5, bottom_mean: 11.0, loss: -46648.23046875
mean: 13.09, std: 3.23, bottom_mean: 9.0, loss: -12544.646484375
mean: 11.01, std: 3.27, bottom_mean: 8.0, loss: -14395.2265625
mean: 11.0, std: 3.75, bottom_mean: 8.0, loss: -5251.236328125
mean: 11.5, std: 3.87, bottom_mean: 8.0, loss: -5237.07958984375
mean: 12.42, std: 4.16, bottom_mean: 8.0, loss: -5222.1630859375
mean: 13.51, std: 4.19, bottom_mean: 8.0, loss: -6444.916015625
mean: 14.13, std: 4.17, bottom_mean: 8.0, loss: -6466.59814453125
mean: 14.74, std: 3.34, bottom_mean: 9.0, loss: -22663.27734375
mean: 13.43, std: 2.49, bottom_mean: 9.0, loss: -9331.298828125
mean: 12.69, std: 2.53, bottom_mean: 9.0, loss: -16310.05859375
mean: 10.13, std: 1.63, bottom_mean: 8.0, loss: -16312.9189453125
mean: 9.48, std: 1.04, bottom_mean: 8.0, loss: -5285.99267578125
mean: 9.37, std: 0.9, bottom_mean: 8.0, loss: -4173.13232421875
mean: 10.85, std: 1.86, bottom_mean: 8.0, loss: -5279.9853515625
mean: 12.34, std: 2.32, bottom_mean: 9.0, loss: -9335.02734375
mean: 14.12, std: 3.24, bottom_mean: 9.0, loss: -9336.4501953125
mean: 15.33, std: 3.31, bottom_mean: 10.0, loss: -7869.02294921875
mean: 17.1, std: 4.16, bottom_mean: 11.0, loss: -9332.8671875
mean: 18.98, std: 4.9, bottom_mean: 11.0, loss: -12601.845703125
mean: 18.91, std: 5.1, bottom_mean: 12.0, loss: -27410.314453125
mean: 20.53, std: 5.61, bottom_mean: 12.0, loss: -16316.5810546875
mean: 19.48, std: 5.71, bottom_mean: 11.0, loss: -38027.66015625
mean: 16.89, std: 4.86, bottom_mean: 9.0, loss: -20458.212890625
mean: 13.43, std: 4.59, bottom_mean: 8.0, loss: -16324.712890625
mean: 13.32, std: 4.51, bottom_mean: 8.0, loss: -22583.1796875
mean: 13.86, std: 4.77, bottom_mean: 8.0, loss: -4175.50537109375
mean: 13.77, std: 4.62, bottom_mean: 8.0, loss: -29828.091796875
mean: 14.06, std: 4.91, bottom_mean: 8.0, loss: -16263.138671875
mean: 13.93, std: 5.07, bottom_mean: 8.0, loss: -14357.3798828125
mean: 12.41, std: 4.17, bottom_mean: 8.0, loss: -37918.05078125
mean: 13.15, std: 4.4, bottom_mean: 8.0, loss: -6497.38671875
mean: 19.48, std: 6.0, bottom_mean: 10.0, loss: -6513.8759765625
mean: 17.88, std: 5.79, bottom_mean: 10.0, loss: -27425.1015625
mean: 15.96, std: 5.27, bottom_mean: 9.0, loss: -38003.1015625
mean: 13.89, std: 4.49, bottom_mean: 9.0, loss: -10902.3125
mean: 13.09, std: 4.85, bottom_mean: 8.0, loss: -40886.80078125
mean: 13.86, std: 6.35, bottom_mean: 8.0, loss: -29915.83984375
mean: 24.16, std: 17.9, bottom_mean: 9.0, loss: -10915.44140625
mean: 44.37, std: 31.27, bottom_mean: 11.0, loss: -7872.82763671875
mean: 61.14, std: 36.04, bottom_mean: 19.0, loss: -9340.3662109375
mean: 93.44, std: 53.62, bottom_mean: 23.0, loss: 21039344.0
mean: 106.43, std: 57.72, bottom_mean: 27.0, loss: -130336.6640625
mean: 115.2, std: 64.37, bottom_mean: 35.0, loss: 12085919.0
mean: 97.69, std: 62.72, bottom_mean: 34.0, loss: -152179.546875
mean: 108.91, std: 60.68, bottom_mean: 31.0, loss: -216296.3125
mean: 103.51, std: 58.5, bottom_mean: 39.0, loss: -283133.125
mean: 104.13, std: 55.55, bottom_mean: 37.0, loss: -229359.84375
mean: 100.77, std: 55.74, bottom_mean: 37.0, loss: -73491.2109375
mean: 100.31, std: 55.9, bottom_mean: 39.0, loss: -229636.03125
mean: 92.59, std: 52.07, bottom_mean: 34.0, loss: -253113.03125
mean: 101.01, std: 55.0, bottom_mean: 33.0, loss: 810668.3125
mean: 98.11, std: 55.53, bottom_mean: 35.0, loss: -169502.28125
mean: 100.21, std: 56.9, bottom_mean: 36.0, loss: -164691.6875
mean: 103.82, std: 57.29, bottom_mean: 39.0, loss: -164887.015625
mean: 98.04, std: 58.38, bottom_mean: 36.0, loss: -401794.28125
mean: 106.73, std: 58.58, bottom_mean: 41.0, loss: -287613.25
mean: 109.75, std: 58.73, bottom_mean: 37.0, loss: -335879.875
mean: 97.52, std: 54.45, bottom_mean: 26.0, loss: -169690.984375
mean: 96.19, std: 56.67, bottom_mean: 24.0, loss: 1417661.75
mean: 82.65, std: 46.82, bottom_mean: 32.0, loss: 25420758.0
mean: 82.39, std: 43.49, bottom_mean: 29.0, loss: -173788.09375
mean: 88.86, std: 48.06, bottom_mean: 33.0, loss: -150967.734375
mean: 82.31, std: 41.66, bottom_mean: 35.0, loss: -200977.890625
mean: 80.58, std: 39.35, bottom_mean: 35.0, loss: -140622.484375
mean: 80.16, std: 38.93, bottom_mean: 34.0, loss: -212047.25
mean: 74.49, std: 38.13, bottom_mean: 34.0, loss: -404265.90625
mean: 78.23, std: 36.47, bottom_mean: 37.0, loss: -87621.9453125
mean: 74.93, std: 39.09, bottom_mean: 33.0, loss: -190152.40625
mean: 82.83, std: 38.6, bottom_mean: 33.0, loss: -87735.5078125
mean: 78.06, std: 37.79, bottom_mean: 35.0, loss: -231797.515625
mean: 78.14, std: 37.29, bottom_mean: 35.0, loss: -302033.5
mean: 78.68, std: 42.01, bottom_mean: 33.0, loss: -318046.3125
mean: 85.4, std: 43.22, bottom_mean: 35.0, loss: -374599.9375
mean: 74.7, std: 36.02, bottom_mean: 34.0, loss: -128237.921875
mean: 81.51, std: 39.66, bottom_mean: 35.0, loss: -87732.7265625
mean: 78.0, std: 37.12, bottom_mean: 40.0, loss: -146008.203125
mean: 79.18, std: 35.13, bottom_mean: 35.0, loss: -217920.75
mean: 82.83, std: 39.86, bottom_mean: 38.0, loss: -148708.734375
mean: 84.48, std: 36.33, bottom_mean: 38.0, loss: -163135.453125
mean: 96.04, std: 37.79, bottom_mean: 36.0, loss: -293698.09375
mean: 94.14, std: 40.6, bottom_mean: 36.0, loss: -366626.46875
mean: 82.54, std: 35.05, bottom_mean: 29.0, loss: -282155.875
mean: 90.75, std: 45.1, bottom_mean: 31.0, loss: -398630.15625
mean: 87.91, std: 46.24, bottom_mean: 29.0, loss: -144625.578125
mean: 84.4, std: 44.21, bottom_mean: 28.0, loss: -381905.96875
mean: 74.04, std: 39.27, bottom_mean: 26.0, loss: -145979.890625
