Metrics:
mean: 120.77, std: 63.26, bottom_mean: 43.0, loss: 0.0
mean: 54.22, std: 32.56, bottom_mean: 27.0, loss: 794.89
mean: 22.66, std: 4.01, bottom_mean: 16.0, loss: 1010.17
mean: 22.36, std: 4.4, bottom_mean: 16.0, loss: 701.01
mean: 17.5, std: 2.78, bottom_mean: 13.0, loss: 1490.18
mean: 15.92, std: 2.37, bottom_mean: 12.0, loss: 2829.46
mean: 14.67, std: 2.05, bottom_mean: 11.0, loss: 2155.27
mean: 13.69, std: 1.76, bottom_mean: 11.0, loss: 2645.55
mean: 17.13, std: 2.36, bottom_mean: 13.0, loss: 2501.76
mean: 31.32, std: 5.7, bottom_mean: 21.0, loss: 4270.02
mean: 42.54, std: 10.03, bottom_mean: 25.0, loss: 2848.77
mean: 31.42, std: 4.19, bottom_mean: 25.0, loss: 2936.75
mean: 18.02, std: 4.81, bottom_mean: 10.0, loss: 3713.27
mean: 9.3, std: 0.78, bottom_mean: 8.0, loss: 3564.86
mean: 9.3, std: 0.77, bottom_mean: 8.0, loss: 4267.55
mean: 19.9, std: 37.0, bottom_mean: 8.0, loss: 6602.61
mean: 72.86, std: 9.41, bottom_mean: 54.0, loss: 3430.76
mean: 127.8, std: 41.8, bottom_mean: 73.0, loss: 2587.8
mean: 105.23, std: 31.63, bottom_mean: 72.0, loss: 2542.11
mean: 129.83, std: 31.62, bottom_mean: 90.0, loss: 2173.83
mean: 142.32, std: 31.73, bottom_mean: 102.0, loss: 2229.81
mean: 63.06, std: 7.3, bottom_mean: 47.0, loss: 2562.2
mean: 182.23, std: 21.21, bottom_mean: 131.0, loss: 2921.56
mean: 120.21, std: 19.06, bottom_mean: 97.0, loss: 1884.13
mean: 29.9, std: 3.7, bottom_mean: 23.0, loss: 2447.48
mean: 86.85, std: 5.91, bottom_mean: 74.0, loss: 2042.48
mean: 152.98, std: 24.16, bottom_mean: 122.0, loss: 2826.92
mean: 189.18, std: 14.32, bottom_mean: 153.0, loss: 3382.91
mean: 186.91, std: 16.7, bottom_mean: 150.0, loss: 2217.08
mean: 184.7, std: 19.57, bottom_mean: 145.0, loss: 3462.05
mean: 184.53, std: 20.83, bottom_mean: 131.0, loss: 2215.61
mean: 138.35, std: 24.1, bottom_mean: 110.0, loss: 2435.05
mean: 128.7, std: 13.79, bottom_mean: 107.0, loss: 2803.65
mean: 124.84, std: 5.68, bottom_mean: 114.0, loss: 2782.54
mean: 127.23, std: 7.68, bottom_mean: 113.0, loss: 2791.86
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2815.28
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2606.43
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 3114.27
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1847.93
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 3407.43
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2927.93
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2995.58
mean: 149.61, std: 7.03, bottom_mean: 135.0, loss: 3566.9
mean: 163.09, std: 5.73, bottom_mean: 151.0, loss: 3340.48
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 5375.68
mean: 199.9, std: 0.62, bottom_mean: 194.0, loss: 4219.0
mean: 199.14, std: 2.53, bottom_mean: 186.0, loss: 6497.5
mean: 189.71, std: 11.45, bottom_mean: 163.0, loss: 5210.41
mean: 147.41, std: 6.35, bottom_mean: 133.0, loss: 6666.69
mean: 142.63, std: 6.83, bottom_mean: 130.0, loss: 10714.05
mean: 159.74, std: 8.24, bottom_mean: 142.0, loss: 7950.36
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 7572.42
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 7118.03
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 8641.65
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 8076.58
